track_id,name,artist_id,artist_name,popularity,explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,collabs
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,91,False,200040,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0
02MWAaffLxlfxAUY7c5dvx,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,90,False,238805,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,0
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,88,False,240400,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,0
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),"6fWVd57NKTalqvmjRd2t8Z,6ASri4ePR7RlsvIQgWPJpS","24kGoldn,iann dior",88,True,140533,0.7,0.722,-3.558,0.0369,0.221,0.0,0.272,0.756,90.989,1
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,Harry Styles,88,False,174000,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,0
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),"6M2wZ9GZgrQXHCFfjv46we,4r63FhuTkUYltbVAg5TQnk","Dua Lipa,DaBaby",87,False,203064,0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,1
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"6qqNVTkY8uBg9cP3Jd7DAH,6LuN9FCkKOj5PcnpouEgny","Billie Eilish,Khalid",87,False,200185,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,1
0v1x6rN6JHRapa03JElljE,Dynamite,3Nrfpe0tUJi4K4DXYWgMUX,BTS,87,False,199053,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,0
5QO79kh1waicV47BqGRL3g,Save Your Tears,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,87,True,215626,0.68,0.826,-5.487,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,0
6f3Slt0GbA2bPZlz0aIFXN,The Business,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,87,False,164000,0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,0
7igeByaBM0MgGsgXtNxDJ7,positions,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,86,True,172324,0.736,0.802,-4.759,0.0864,0.468,0.0,0.094,0.675,144.005,0
4xqrdfXkTW4T0RauPLv3WA,Heather,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,86,False,198040,0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078,0
0pqnGHJpmpxLKifKRmU6WP,Believer,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,86,False,204346,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,0
45bE4HXI0AwGZXfZtMp8JR,you broke me first,45dkTj5sMRSjrmBSBeiHym,Tate McRae,86,False,169265,0.667,0.373,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148,0
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,86,False,260173,0.588,0.521,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012,0
4VginDwYTP2eaHJzO0QMjG,Circles,246dkjvS1zLTtiykXe5h60,Post Malone,86,False,215280,0.704,0.758,-3.537,0.0402,0.233,0.00144,0.0924,0.534,120.003,0
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,86,False,182160,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,0
0tgVpDi06FyKpA1z0VMD4v,Perfect,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,86,False,263400,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,86,True,161384,0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,0
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),"6DgP9otnZw5z6daOntINxp,7uMh23xWiuR7zsNkuNcm2G","Joel Corry,MNEK",85,False,166028,0.734,0.874,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,1
6gBFPUFcJLzWGx4lenP6h2,goosebumps,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,85,True,243836,0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,0
2Fxmhks0bxGSBdJ92vM42m,bad guy,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,85,False,194087,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,0
3U4isOIWM3VvDubwSI3y7a,All of Me,5y2Xq6xcjJb2jVM54GHK3t,John Legend,85,False,269560,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,0
6ocbgoVGwYJhOv1GgI9NsF,7 rings,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,85,True,178626,0.778,0.317,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,0
2b8fOow8UzyDFAE27YhOZM,Memories,04gDigrS5kc9YWfZHwBETP,Maroon 5,85,False,189486,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,0
62vpWI1CHwFy7tMIcSStl8,No Role Modelz,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,85,True,292986,0.692,0.521,-8.465,0.33,0.301,0.0,0.0565,0.463,100.45,0
0ct6r3EGTcMLPtrXHDvVjc,The Nights,1vCWHaC5f2uS3yhpwWbIA6,Avicii,85,False,176658,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,0
39LLxExYz6ewLAcYrzQQyP,Levitating,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,85,False,203807,0.695,0.884,-2.278,0.0753,0.0561,0.0,0.213,0.914,103.014,0
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,85,True,119133,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021,0
3AJwUDP919kvQ9QcozQPxg,Yellow,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,85,False,266773,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,85,False,233712,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,0
2ZRo7axmMPeSVUvDbGkJah,Hope,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,84,True,110886,0.592,0.457,-6.081,0.0603,0.661,0.000331,0.146,0.225,146.04,0
3B0irDyS69y5eAz15xV2Ee,Wake Me Up,1vCWHaC5f2uS3yhpwWbIA6,Avicii,84,False,247426,0.532,0.783,-5.697,0.0523,0.00375,0.00123,0.161,0.643,124.084,0
6Im9k8u9iIzKMrmV7BWtlF,34+35,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,84,True,173710,0.83,0.585,-6.476,0.094,0.237,0.0,0.248,0.485,109.978,0
47EiUVwUp4C9fGccaPuUCS,DÁKITI,"4q3ewBCX7sLwd24euuV69X,0EFisYRi20PTADoJrifHrz","Bad Bunny,Jhay Cortez",84,True,205090,0.731,0.573,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928,1
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,84,True,239835,0.511,0.566,-7.23,0.2,0.349,0.0,0.34,0.218,83.903,0
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),"0xRXCcSX89eobfrshSVdyu,5KNNVgR6LBIABRIomyCwKJ","MEDUZA,Dermot Kennedy",84,False,167903,0.632,0.595,-7.644,0.0401,0.0689,0.0,0.209,0.435,124.114,1
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"69GGBxA162lTqCwzJG5jLp,26VFTg2z8YR0cCuwLzESi2","The Chainsmokers,Halsey",84,False,244960,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,1
25khomWgBVamSdKw7hzm3l,The Hills,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,84,True,242253,0.356,0.567,-7.011,0.0798,0.0861,0.0,0.137,0.109,135.553,0
6zFMeegAMYQo0mt8rXtrli,HOLIDAY,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,84,True,154997,0.81,0.511,-6.924,0.164,0.12,0.0,0.0832,0.837,151.947,0
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"6bmlMHgSheBauioMgKv2tn,35l9BRT7MXmM8bv2WDQiyB","Powfu,beabadoobee",84,False,173333,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,144.026,1
4xkOaSrkexMciUUogZKVTS,'Till I Collapse,"7dGJo4pcD2V6oG8kP0tJRR,1Oa0bMld0A3u5OTYfMzp5h","Eminem,Nate Dogg",84,True,297786,0.548,0.847,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,1
5C0LFQARavkPpn7JgA4sLk,Every Breath You Take,5NGO30tJxFlKixkPSgXcFE,The Police,84,False,253920,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0701,0.74,117.401,0
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,James Arthur,84,False,211466,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,0
1ZMiCix7XSAbfAJlEZWMCp,Falling,6KImCVD70vtIoJWnq6nGn3,Harry Styles,84,False,240133,0.567,0.267,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,0
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,"4q3ewBCX7sLwd24euuV69X,7ltDVBr6mKbRvohxheJ9h1","Bad Bunny,ROSALÍA",84,False,203200,0.856,0.618,-4.892,0.286,0.0303,0.0,0.0866,0.391,81.993,1
3jjujdWJ72nww5eGnfs2E7,Adore You,6KImCVD70vtIoJWnq6nGn3,Harry Styles,84,False,207133,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048,0
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,84,True,95466,0.734,0.57,-7.066,0.133,0.847,2.14e-05,0.112,0.689,129.953,0
7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,7gP3bB2nilZXLfPHJhMdvc,Foster The People,84,False,239600,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,0
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,84,True,175720,0.598,0.427,-8.764,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,0
4HYDUMY0xSpeBr0AMY9cUz,La Curiosidad,"2cPqdH7XMvwaBJEVjheH8g,2ydZrTy8U3kOMOzx20s3dg,7iK8PXO48WeuP03g8YR51W","Jay Wheeler,DJ Nelson,Myke Towers",84,False,219048,0.845,0.677,-4.798,0.136,0.269,0.000917,0.108,0.68,90.013,1
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),"4r63FhuTkUYltbVAg5TQnk,757aE44tKEUQEqRuT6GnEB","DaBaby,Roddy Ricch",84,True,181733,0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,1
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,7dGJo4pcD2V6oG8kP0tJRR,Eminem,84,True,290320,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,0
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,84,False,257800,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,0
35ieKju5aLWFN5UgfJ27mL,SAD!,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,84,True,166605,0.74,0.613,-4.88,0.145,0.258,0.00372,0.123,0.473,75.023,0
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,84,True,160000,0.709,0.548,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995,0
