artist_id,name,genres,followers,popularity
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",57611522,100
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"latin,reggaeton,trap latino",38127243,97
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian pop,pop",51059942,96
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"k-pop,k-pop boy group",39492334,96
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap,rap",15253699,96
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"latin,reggaeton,reggaeton colombiano,trap latino",30055823,95
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"dance pop,pop",10507323,95
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"pop,uk pop",85770152,94
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,43736648,94
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b,canadian pop,pop",37146980,94
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,"lgbtq+ hip hop,pop",6638572,94
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"electropop,pop",49817217,93
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"puerto rican pop,trap latino",7010834,93
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"dance pop,pop",69785612,92
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop,hip hop,rap",48139187,92
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance pop,pop,uk pop",28610495,92
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap,melodic rap",19925548,92
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap,slap house",18491947,92
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,8669942,92
5f7VJjfbwm532GiveGC0ZK,Lil Baby,"atl hip hop,atl trap,rap,trap",8348899,92
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian hip hop,2626999,92
329e4yvIujISKGKz1BZZbO,Farruko,"latin,reggaeton,trap latino",10966556,91
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"barbadian pop,dance pop,pop,pop rap,urban contemporary",45137379,90
246dkjvS1zLTtiykXe5h60,Post Malone,"dfw rap,melodic rap,rap",34339288,90
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance pop,pop",34175585,90
