artist_id,name,genres,followers,popularity,danceability,energy,tempo,valence,loudness,speechiness,liveness,acousticness,instrumentalness
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"melodic rap,philly rap,rap,trap",12118739,89,0.78,0.63,129.45,0.47,-6.17,0.24,0.21,0.13,0.0
55Aa2cqylxrFIXC767Z865,Lil Wayne,"hip hop,new orleans rap,pop rap,rap,trap",10919732,89,0.73,0.64,121.57,0.49,-5.55,0.25,0.21,0.17,0.0
77ziqFxp5gaInVrF2lj4ht,Sech,"latin,panamanian pop,reggaeton,trap latino",9206232,89,0.74,0.69,146.47,0.65,-4.07,0.18,0.18,0.24,0.0
4r63FhuTkUYltbVAg5TQnk,DaBaby,"north carolina hip hop,rap",8089608,89,0.82,0.65,128.31,0.65,-5.61,0.28,0.17,0.1,0.0
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,brooklyn drill,7646196,89,0.69,0.65,128.53,0.46,-6.25,0.23,0.2,0.21,0.0
50co4Is1HCEo8bhOyUWKpn,Young Thug,"atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,rap,trap",6543812,89,0.8,0.6,128.44,0.46,-6.98,0.2,0.18,0.1,0.0
6AgTAQt8XS6jRWi4sX7w49,Polo G,chicago rap,5336043,89,0.79,0.61,129.88,0.45,-7.45,0.34,0.11,0.14,0.0
0EFisYRi20PTADoJrifHrz,Jhay Cortez,"latin,reggaeton,trap latino",2706397,89,0.81,0.64,98.23,0.35,-7.51,0.11,0.11,0.21,0.0
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,"deep underground hip hop,kentucky hip hop,pop rap,rap",1202638,89,0.88,0.65,131.77,0.71,-6.86,0.22,0.24,0.05,0.0
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,"modern rock,pop,rock",36081513,88,0.58,0.7,124.27,0.39,-5.95,0.07,0.19,0.15,0.01
04gDigrS5kc9YWfZHwBETP,Maroon 5,"pop,pop rock",33200206,88,0.72,0.6,108.28,0.47,-6.01,0.06,0.1,0.3,0.0
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"latin,latin hip hop,reggaeton,trap latino",24484741,88,0.74,0.8,123.92,0.7,-3.71,0.1,0.2,0.19,0.0
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"dance pop,hip pop,pop,pop rap,queens hip hop",22716806,88,0.78,0.67,127.26,0.52,-5.46,0.19,0.17,0.12,0.0
