track_id,name,artist_id,artist_name,genres,popularity,explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,collabs
6ZfXA2xakAvphXOSOJ3u1W,When I Look At You,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,"dance pop,pop,post-teen pop",73,FALSE,248586,0.459,0.545,-4.874,0.0282,0.142,0.0,0.105,0.194,137.941,0
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,"0uGk2czvcpWQA383Im6ajf,7DMveApC7UnC2NPfPvlHSU,0CEK8AzyeD5ZUdUloB6yQV","Maggie Lindemann,Cheat Codes,CADE","alt z,pop,post-teen pop,social media pop,dance pop,edm,electro house,electropop,pop,pop dance,pop edm,tropical house,pop edm",73,TRUE,193613,0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,1
34LI7rwi9H8w2S5KTHnv1M,Quiéreme Mientras Se Pueda,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,"colombian pop,latin,reggaeton,reggaeton colombiano,trap latino",73,FALSE,191945,0.793,0.782,-3.945,0.0582,0.447,0.0,0.124,0.81,143.86,0
4QIo4oxwzzafcBWkKjDpXY,xanny,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"electropop,pop",73,FALSE,243725,0.521,0.125,-17.832,0.239,0.751,0.00207,0.265,0.0528,111.554,0
6MjNilJCVKJq0LfFvo5jWJ,Fast,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap,melodic rap",73,TRUE,208517,0.623,0.608,-5.937,0.0434,0.426,0.0,0.105,0.263,84.98,0
1m69ELEgE6k5ZWsap40ozt,Se Preparó,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"latin,puerto rican pop,reggaeton,trap latino",73,FALSE,188080,0.739,0.821,-4.233,0.0852,0.222,9.6e-06,0.311,0.693,171.077,0
4MXhiYIRDMGAuvZc5IFTwC,ASTROTHUNDER,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap,slap house",73,TRUE,142969,0.7,0.46,-8.111,0.0661,0.142,4.81e-05,0.111,0.286,151.901,0
7vgv8KZBSo0TPzyIWG9yzV,Salt,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,"dance pop,pop",73,FALSE,180283,0.693,0.835,-3.242,0.0623,0.131,0.0,0.073,0.743,128.057,0
7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,"contemporary country,country pop",73,FALSE,165386,0.732,0.458,-7.225,0.0311,0.447,0.0,0.136,0.661,98.938,0
6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap,slap house",73,TRUE,218283,0.731,0.811,-3.225,0.0712,0.0204,0.0,0.411,0.426,147.045,0
5KqldkCunQ2rWxruMEtGh0,The Gambler,4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,"adult standards,classic country pop,country,mellow gold,nashville sound,soft rock",73,FALSE,214880,0.671,0.501,-13.119,0.0594,0.342,0.0,0.194,0.86,87.04,0
2alc8VZAzDgdAsL2QMk3hu,Skechers,3O5HD95HTEPgoPFOjAb7yV,DripReport,viral rap,73,TRUE,106000,0.903,0.327,-9.727,0.0877,0.26,0.011,0.108,0.274,100.008,0
4HDCLYli2SUdkq9OjmvhSD,BELIEVE IT,"2HPaUgqeutzr3jx5a9WyDV,5pKCCKE2ajJHZ9KAiaK11H","PARTYNEXTDOOR,Rihanna","pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary,barbadian pop,dance pop,pop,pop rap,urban contemporary",73,TRUE,183219,0.43,0.7,-5.35,0.264,0.0902,0.0,0.216,0.731,158.373,1
4OafepJy2teCjYJbvFE60J,breathin,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"dance pop,pop",73,TRUE,198160,0.568,0.656,-5.413,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,0
0DiDStADDVh3SvAsoJAFMk,Only Human,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,"boy band,dance pop,pop,post-teen pop",73,FALSE,183000,0.795,0.496,-5.883,0.0722,0.108,0.0,0.0645,0.874,94.01,0
2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),"1vCWHaC5f2uS3yhpwWbIA6,0id62QV2SZZfvBn9xpmuCl","Avicii,Aloe Blacc","dance pop,edm,pop,pop dance,pop soul,r&b",73,FALSE,157202,0.802,0.645,-6.181,0.0715,0.272,0.0,0.119,0.376,100.001,1
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,6jJ0s89eD6GaHleKKya26X,Katy Perry,"dance pop,pop,post-teen pop",73,FALSE,223523,0.77,0.882,-4.792,0.0602,0.194,0.0,0.316,0.385,99.991,0
3Uo7WG0vmLQ07WB4BDwy7D,willow,06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,73,FALSE,214706,0.392,0.579,-9.195,0.164,0.835,0.00179,0.145,0.549,80.961,0
3gD4J3RUHy4OUuZ3qAiaiG,Caramelo,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"latin,puerto rican pop,reggaeton,trap latino",73,FALSE,217546,0.728,0.806,-3.766,0.0623,0.0531,0.000301,0.153,0.698,168.084,0
7lgA34nFXxjqQgyLkPUcLv,Jenny (I Wanna Ruin Our Friendship),7avo0PmlW8O1YLEt9DnWQT,Studio Killers,,73,FALSE,215280,0.668,0.799,-5.701,0.0333,0.00305,0.0148,0.277,0.563,133.929,0
4lMOQR1rRW5hJgJXOtKraL,Relación,77ziqFxp5gaInVrF2lj4ht,Sech,"latin,panamanian pop,reggaeton,trap latino",73,FALSE,184254,0.805,0.562,-3.117,0.105,0.125,4.96e-06,0.148,0.767,172.094,0
1wZqJM5FGDEl3FjHDxDyQd,Come and See Me (feat. Drake),"2HPaUgqeutzr3jx5a9WyDV,3TVXtAsR1Inumwj472S9r4","PARTYNEXTDOOR,Drake","pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary,canadian hip hop,canadian pop,hip hop,rap,toronto rap",73,TRUE,235477,0.717,0.347,-10.265,0.0636,0.0511,2.43e-06,0.087,0.0589,84.987,1
4bTZeO72FwMa6wKOiqoynL,Otro Trago - Remix,"77ziqFxp5gaInVrF2lj4ht,1i8SpTcr7yvPOmcqrbnVXY,2R21vXR83lH98kGeO99Y66,1TtXnWcUs0FCkaZDPGYHdf,1SupJlEpv7RS2tPNRaHViT","Sech,Ozuna,Anuel AA,Darell,Nicky Jam","latin,panamanian pop,reggaeton,trap latino,latin,puerto rican pop,reggaeton,trap latino,latin,reggaeton,reggaeton flow,trap boricua,trap latino,latin,latin hip hop,reggaeton,reggaeton flow,trap latino,latin,latin hip hop,reggaeton,trap latino",73,TRUE,287773,0.725,0.79,-2.331,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,1
