artist_id,followers,genres,popularity,name
07YUOmWljBTXwIseAUd9TW,16605138,"colombian pop, latin, reggaeton, reggaeton colombiano",84,Sebastian Yatra
5YGY8feqx7naU7z4HrwZM6,16201947,"dance pop, pop, post-teen pop",85,Miley Cyrus
26VFTg2z8YR0cCuwLzESi2,16075548,"dance pop, electropop, etherpop, indie poptimism, pop",87,Halsey
1elUiq4X7pxej6FRlrEzjM,15291949,"sertanejo, sertanejo universitario",80,Jorge & Mateus
5K4W6rqBFWDnAN6FQUkS6x,15210618,"chicago rap, rap",96,Kanye West
1SupJlEpv7RS2tPNRaHViT,15201442,"latin, latin hip hop, reggaeton, trap latino",87,Nicky Jam
60d24wfXkVzDSfLS6hyCjZ,15095957,"dance pop, dutch edm, edm, pop, pop dance, progressive house, tropical house",81,Martin Garrix
487N2T9nIPEHrlTZLL3SQs,14736735,"sertanejo, sertanejo universitario",81,ZÃ© Neto & Cristiano
0y59o4v8uw5crbN9M3JiL1,14639909,"desi hip hop, desi pop, desi trap, haryanvi pop, modern bollywood",74,Badshah
1mYsTxnqsietFxj1OgoGbG,14619571,"desi pop, filmi, modern bollywood",76,A.R. Rahman
6l3HvQ5sa6mXTsMTB19rO5,14554366,"conscious hip hop, hip hop, north carolina hip hop, rap",88,J. Cole
6LuN9FCkKOj5PcnpouEgny,14371484,"pop, pop r&b",88,Khalid
7bXgB6jMjp9ATFy66eO08Z,14371257,"dance pop, pop, pop rap, r&b, rap",88,Chris Brown
00FQb4jTyendYWaN8pK0wa,14113105,"art pop, pop",85,Lana Del Rey
6VuMaDnrHyPL1p4EHjYLi7,14017389,"dance pop, pop, viral pop",81,Charlie Puth
3vQ0GE3mI0dAaxIMYe5g7z,13655193,"argentine hip hop, trap argentino, trap latino",78,Paulo Londra
6olE6TJLqED3rqDCT0FyPh,13654411,"alternative rock, grunge, permanent wave, rock",83,Nirvana
3p7PcrEHaaKLJnPUGOtRlT,13518070,sertanejo universitario,82,Henrique & Juliano
7MiDcPa6UiV3In7lIM71IN,13492762,"sertanejo, sertanejo universitario",82,Gusttavo Lima
5lwmRuXgjX8xIwlnauTZIP,13368893,"bachata, latin",82,Romeo Santos
7Ln80lUS6He07XvHI8qqHH,12698277,"garage rock, permanent wave, rock, sheffield indie",84,Arctic Monkeys
2C6i0I5RiGzDKN9IAF8reh,12611302,"banda, corrido, norteno, regional mexican",82,Banda MS de Sergio LizÃ¡rraga
7oPftvlwr6VrsViSDV7fJY,12598535,"permanent wave, punk",81,Green Day
5Pwc4xIPtQLFEnJriah9YJ,12443045,"dance pop, piano rock, pop, pop rock",84,OneRepublic
4O15NlyKLIASxsJ0PrXPfz,12090278,"melodic rap, philly rap, rap, trap",89,Lil Uzi Vert
1KCSPY1glIKqW2TotWuXOR,11820452,"dance pop, pop",83,P!nk
6oMuImdp5ZcFhWP0ESe6mG,11799592,"atl hip hop, pop rap, rap, trap",82,Migos
4IKVDbCSBTxBeAsMKjAuTs,11544433,"desi pop, filmi, modern bollywood",70,Armaan Malik
28gNT5KBp7IjEOQoevXf9N,11503812,"colombian pop, reggaeton colombiano",85,Camilo
63yrD80RY3RNEM2YDpUpO8,11350858,"alt z, electropop, pop",80,Melanie Martinez
1ZwdS5xdxEREPySFridCfh,11263629,"g funk, gangster rap, hip hop, rap, west coast rap",80,2Pac
31TPClRtHm23RisEBtV3X7,11235365,"dance pop, pop",81,Justin Timberlake
20JZFwl6HVl6yg8a4H3ZqK,10938046,modern rock,80,Panic! At The Disco
329e4yvIujISKGKz1BZZbO,10928143,"latin, reggaeton, trap latino",90,Farruko
55Aa2cqylxrFIXC767Z865,10892827,"hip hop, new orleans rap, pop rap, rap, trap",89,Lil Wayne
7FNnA9vBm6EKceENgCGRMb,10826132,"funk carioca, funk pop, pagode baiano, pop nacional",80,Anitta
22bE4uQ6baNwSHPVcDxLCe,10814125,"british invasion, classic rock, rock",81,The Rolling Stones
6JL8zeS1NmiOftqZTRgdTz,10752634,"dance pop, hip pop, pop, post-teen pop",77,Meghan Trainor
2DlGxzQSjYe5N6G9nkYghR,10699273,"dance pop, pop, urban contemporary",78,Jennifer Lopez
7n2Ycct7Beij7Dj7meI4X0,10684647,"k-pop, k-pop girl group",82,TWICE
1RyvyyTE3xzB2ZywiAwp0i,10657537,"atl hip hop, pop rap, rap, southern hip hop, trap",90,Future
0NGAZxHanS9e0iNHpR8f2W,10561786,"electro house, pop nacional, slap house",82,Alok
4obzFoKoKRHIphyHzJ35G3,10543681,"dance pop, latin, latin pop, latin viral pop, pop, rap latina, reggaeton, trap latino",83,Becky G
7qG3b048QCHVRO5Pv1T5lw,10399997,"dance pop, latin, latin pop, mexican pop, pop",80,Enrique Iglesias
5cj0lLjcoR7YOSnhnX0Po5,10338479,"dance pop, pop",95,Doja Cat
1URnnhqYAYcrqrcwql10ft,10165924,"atl hip hop, hip hop, rap, trap",87,21 Savage
137W8MRPWKqSmrBGDBFSop,10163250,"dance pop, hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",85,Wiz Khalifa
