track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,November_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6adofcKuKjIl78iwvWF5MM,1,99.0,99.0,156860.0,,,,,,,,,,156860.0,,,50,False,Futuro Ex - Novio,"RBD, AnahÃ­, Dulce MarÃ­a, Maite Perroni, Christian ChÃ¡vez, Christopher von Uckermann, Alfonso Herrera","7cjh6y0V9SsyCrWSXTzwOs, 0TeVa4xdLB8vdzjsvKH6Ri, 6kaefrHSdAvxhhCVDFTCEL, 6ModsWtBph2rE6zCTVxvZt, 0aMqt2uGLuHj4eI8oXgVzN, 5O8cudluftNZ6PCwRzvYxo, 0veZkZPeWoJQ9gt6VAXlkN",0.745,0.955,6.0,-4.201,0.0,0.0594,0.0943,0.0,0.11,0.735,115.988,181520.0,4.0
5kuUOpHZlZjL8b7HXkxRsm,2,197.0,198.0,156574.0,,,,156574.0,,,,,,,,,65,False,LuxÃºria,"XamÃ£, Neo Beats, MatuÃª","5YwzDz4RJfTiMHS4tdR5Lf, 6PERJZF7wohA034PAxDK0b, 5nP8x4uEFjAAmDzwOEc9b8",0.737,0.564,7.0,-8.293,1.0,0.316,0.301,0.0,0.0985,0.684,140.075,185311.0,4.0
7JdZZfozlODQ08ATf8xIZ6,2,198.0,198.0,153762.0,,,,,153762.0,,,,,,,,60,False,Anti Amor - Ao Vivo,"Gustavo Mioto, Jorge & Mateus","1X6ORK7IekgmyjV6IFPszP, 1elUiq4X7pxej6FRlrEzjM",0.643,0.541,1.0,-8.786,1.0,0.0777,0.463,0.0,0.381,0.499,132.143,165360.0,4.0
38MpAndIjGAyVdcC6npX95,2,173.0,180.0,153040.0,,,,,153040.0,,,,,,,,30,False,Infiel - Ao Vivo,MarÃ­lia MendonÃ§a,1yR65psqiazQpeM79CcGh8,0.852,0.684,4.0,-5.915,0.0,0.0377,0.686,1.76e-05,0.145,0.616,126.08,201905.0,4.0
0gtf3d3byB1LJB8APmlPvi,1,139.0,139.0,152079.0,,,,,,,,,,,,152079.0,41,False,Galera do Interior (feat. Luan Estilizado) - Ao Vivo,"Os BarÃµes Da Pisadinha, Luan Estilizado","5Lv2GUVwqmQBPwrTrxucE5, 1tGLEVy901arulIovZtdLc",0.628,0.967,7.0,-1.57,1.0,0.0741,0.658,0.0,0.43,0.934,171.849,146720.0,4.0
3i0uu4DEpcmEAudChpVDBh,1,83.0,83.0,151718.0,,,,,,,,,151718.0,,,,50,False,Teary Eyes,Katy Perry,6jJ0s89eD6GaHleKKya26X,0.616,0.659,7.0,-5.994,1.0,0.0404,0.104,0.0,0.079,0.441,125.962,182595.0,4.0
64kfyGcf5dvbw92Vv4THCj,1,113.0,113.0,151629.0,151629.0,,,,,,,,,,,,46,False,Fun,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,0.863,0.419,11.0,-10.144,0.0,0.437,0.076,4.92e-05,0.151,0.523,113.866,189382.0,4.0
2F20djOXWDSFEXu3tPdV71,1,84.0,84.0,151313.0,,,,,,,,,151313.0,,,,56,False,Not the End of the World,Katy Perry,6jJ0s89eD6GaHleKKya26X,0.508,0.738,2.0,-5.126,0.0,0.0579,0.119,0.0,0.0558,0.523,158.131,178642.0,4.0
2CnjdM7i26Y1kvN3lyuDOl,1,101.0,101.0,149142.0,,,,,,,,,,,149142.0,,63,False,NINGUÃM ME ENSINOU,Lagum,5D56dZmhE9DgT01XixdHiD,0.684,0.644,7.0,-7.69,1.0,0.0509,0.0221,1.8e-05,0.0664,0.309,127.866,157705.0,4.0
1sYRkVKdT2ize1HSDCwbEF,1,51.0,51.0,149057.0,,,,,,,149057.0,,,,,,41,False,Say It Loud - I'm Black And I'm Proud - Pt. 1,James Brown,7GaxyUddsPok8BuhxN6OUW,0.853,0.529,3.0,-9.692,1.0,0.22,0.288,0.0118,0.0452,0.934,115.131,166533.0,4.0
4U34WsyOvppOMnRfq7DuOy,1,107.0,107.0,149022.0,,149022.0,,,,,,,,,,,64,False,Night Crawling (feat. Billy Idol),"Miley Cyrus, Billy Idol","5YGY8feqx7naU7z4HrwZM6, 7lzordPuZEXxwt9aoVZYmG",0.638,0.918,11.0,-4.368,1.0,0.0382,0.0378,0.00805,0.0948,0.668,134.022,189013.0,4.0
