genre,total_genre_streams,number_of_tracks,number_of_artists
new romantic,184145047.0,5.0,5.0
country rock,182378343.0,4.0,3.0
rock-and-roll,182133898.0,8.0,5.0
synthpop,180106525.0,4.0,4.0
pittsburgh rap,176286881.0,14.0,2.0
art rock,175384393.0,8.0,7.0
rap dominicano,169349942.0,4.0,1.0
dembow,169349942.0,4.0,1.0
rap latina,162978598.0,5.0,3.0
cubaton,159309013.0,1.0,1.0
country road,158158364.0,6.0,4.0
motown,153628239.0,15.0,8.0
sertanejo universitario,150714569.0,11.0,6.0
grime,150469963.0,6.0,3.0
indietronica,145949961.0,8.0,4.0
deep house,144470373.0,4.0,2.0
australian dance,143978089.0,10.0,2.0
deep euro house,143590690.0,3.0,1.0
minnesota hip hop,138739705.0,4.0,1.0
beatlesque,137379469.0,4.0,3.0
latin arena pop,136619250.0,12.0,4.0
trap chileno,135898540.0,5.0,3.0
underground hip hop,132562762.0,15.0,13.0
moombahton,125970579.0,10.0,2.0
alberta hip hop,125281548.0,3.0,1.0
indie folk,123479057.0,2.0,1.0
melancholia,123479057.0,2.0,1.0
eau claire indie,123479057.0,2.0,1.0
chill r&b,120973767.0,5.0,4.0
bases de freestyle,120804975.0,2.0,1.0
r&b argentino,119495278.0,1.0,1.0
mexican pop,115449314.0,15.0,9.0
dream smp,114763223.0,5.0,4.0
trap triste,114694699.0,2.0,2.0
reggae fusion,111655940.0,4.0,4.0
urbano espanol,111138563.0,3.0,3.0
modern indie pop,110064311.0,2.0,2.0
forro,106934556.0,6.0,3.0
norwegian pop,105071379.0,2.0,2.0
brega funk,99455659.0,5.0,6.0
art pop,97822157.0,7.0,7.0
afro dancehall,96659402.0,6.0,3.0
nigerian pop,96659402.0,6.0,3.0
blues rock,96522533.0,4.0,4.0
barbadian pop,94408109.0,2.0,1.0
dancehall,93039866.0,4.0,2.0
nigerian hip hop,92950057.0,4.0,2.0
trap soul,92244248.0,7.0,2.0
florida rap,91986217.0,4.0,2.0
regional mexican,91196566.0,5.0,4.0
sertanejo,90543055.0,11.0,6.0
nyc pop,90101558.0,1.0,1.0
new french touch,90101558.0,1.0,1.0
spanish indie pop,89557219.0,1.0,1.0
tennessee hip hop,87323917.0,3.0,2.0
plugg,86114146.0,17.0,2.0
alabama rap,85792964.0,1.0,1.0
swing,84252336.0,13.0,7.0
swedish electropop,84167155.0,3.0,1.0
hamburg hip hop,83144755.0,16.0,5.0
progressive house,82592419.0,6.0,3.0
big room,81806217.0,4.0,2.0
ninja,81804203.0,9.0,1.0
bmore,81804203.0,9.0,1.0
dutch edm,80817358.0,3.0,2.0
frauenrap,80188634.0,12.0,5.0
nuevo regional mexicano,79361630.0,3.0,2.0
ranchera,79361630.0,3.0,2.0
mariachi,79361630.0,3.0,2.0
detroit trap,78856041.0,2.0,1.0
trance,78806417.0,1.0,1.0
uk funky,78716691.0,2.0,2.0
bolero,78399127.0,2.0,1.0
classic girl group,78259826.0,3.0,1.0
jawaiian,78074584.0,1.0,1.0
german pop,77472830.0,16.0,11.0
afro soul,76316174.0,2.0,2.0
south african pop,76316174.0,2.0,2.0
south african house,74851671.0,1.0,1.0
musical advocacy,73198864.0,1.0,1.0
indie rockism,71495440.0,1.0,1.0
hard rock,71007167.0,17.0,8.0
folk rock,70968937.0,4.0,3.0
irish pop,70549931.0,1.0,1.0
alternative hip hop,67169979.0,7.0,8.0
italian hip hop,66909056.0,21.0,17.0
sophisti-pop,66549683.0,2.0,2.0
meme rap,63389888.0,2.0,2.0
german drill,63332934.0,16.0,4.0
melodic dubstep,62680701.0,1.0,1.0
alternative pop rock,61655297.0,2.0,1.0
experimental,60999532.0,1.0,1.0
experimental pop,60999532.0,1.0,1.0
pop flamenco,60674226.0,1.0,1.0
rumba,60674226.0,1.0,1.0
spanish pop rock,60674226.0,1.0,1.0
piseiro,58886867.0,5.0,1.0
hardcore hip hop,56335311.0,6.0,6.0
sertanejo pop,55724674.0,6.0,6.0
indie pop rap,54929766.0,3.0,1.0
oakland hip hop,54929766.0,3.0,1.0
italian pop,54609199.0,21.0,9.0
trap italiana,53262002.0,20.0,13.0
colombian hip hop,53228653.0,2.0,1.0
new rave,52573445.0,1.0,1.0
electro,52489850.0,2.0,2.0
west coast rap,50617616.0,7.0,4.0
electronic trap,45593174.0,2.0,1.0
american folk revival,45276546.0,2.0,1.0
instrumental grime,44270923.0,2.0,1.0
birmingham grime,44270923.0,2.0,1.0
romanian pop,43136545.0,5.0,1.0
kosovan pop,43136545.0,5.0,1.0
belgian pop,42465565.0,2.0,2.0
light music,42301108.0,1.0,1.0
variete francaise,41420634.0,1.0,1.0
acoustic pop,39340745.0,1.0,1.0
punk,38690775.0,2.0,2.0
russian dance,38316051.0,1.0,1.0
celtic punk,37950755.0,1.0,1.0
folk punk,37950755.0,1.0,1.0
celtic,37950755.0,1.0,1.0
celtic rock,37950755.0,1.0,1.0
irish folk,37950755.0,1.0,1.0
latin viral pop,37224925.0,7.0,6.0
la pop,37018366.0,4.0,1.0
speedrun,36348587.0,2.0,1.0
video game music,36348587.0,2.0,1.0
vocal harmony group,35962559.0,2.0,2.0
eurodance,35857103.0,3.0,3.0
musica canaria,35232745.0,1.0,1.0
afrofuturism,33677126.0,2.0,2.0
deep adult standards,33568468.0,2.0,2.0
german cloud rap,33254554.0,12.0,2.0
funk,32454232.0,10.0,6.0
canadian old school hip hop,32126270.0,1.0,1.0
irish singer-songwriter,31290007.0,1.0,1.0
